Job Salary,Job Experience Required,Role Category,Functional Area,Industry,Job Title,Skills List
"300,000",3.5,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Automobile, Auto Anciliary, Auto Components",HR Executive,"hr, training, human resource, training & development"
"525,000",5.5,Logistics,Purchase / Logistics / Supply Chain,"Courier, Transportation, Freight , Warehousing",Store Keeper,"logistics, vendor management, 3Pl, Store Keeper, Store Supervision, Logistics Operations, Warehouse, Warehouse Operations, Cargo Operations"
"225,000",2.0,Back Office/Web/Transaction Processing,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate,"CSS, HTML, Wordpress, Javascript, PHP, JQuery, MySQL, Web Designing, Web Technologies, Computer Science"
"900,000",0.5,Finance/Audit,"Accounts , Finance , Tax , Company Secretary , Audit","Accounting, Finance",Finance Executive,"ca, chartered accountant, Statutory Audit, stat audit, audit, Assurance"
"750,000",4.5,Retail Sales,"Sales , Retail , Business Development","Consumer Electronics, Appliances, Durables",Retail Store Manager,"Store Manager, customer relationship, customer satisfaction, Store Head, Store Management"
"1,200,000",8.5,Retail Sales,"Sales , Retail , Business Development","Banking, Financial Services, Broking",Sales,"Sales, Business Loan, Personal Loans, Business Development"
"375,000",6.0,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit",Other,Accounts Manager,"accounting, tds return, auditing, tcs, gst, banking, financial, Management"
"287,500",3.0,Back Office/Web/Transaction Processing,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate,"international bpo, chat process, voice process, international voice process, exl, wns, accenture, inbound calls, customer service, cce, non voice, uk shifts, ites, kpo, bpo, cco"
"1,150,000",5.5,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,"css, web services, maven, hibernate, ajax, javascript, jquery, core java, eclipse, java, git, Multithreading, spring mvc, postgresql, struts, java ee, j2ee, html, mysql"
"1,450,000",7.0,Programming & Design,IT Software - Other,"IT-Software, Software Services",Team Lead,"Mean Stack, React.Js, Node.Js, Karma, MongoDB, Angularjs, Express, Bootstrap, HTML, CSS, Javascript"
"1,750,000",12.5,Retail Sales,"Sales , Retail , Business Development","Courier, Transportation, Freight , Warehousing",Sales,"project sales, business development, bdm"
"162,500",1.5,Medical Professional,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals",Lab Technician,"Dmlt, MLT"
"400,000",8.5,Journalist/Writer,"Journalism , Editing , Content","NGO, Social Services, Regulators, Industry Associations",Journalist,"Spoken English, Hindi, camera, Script Writing, Content Writing, cinematography"
"175,000",2.0,Other,"ITES , BPO , KPO , LPO , Customer Service , Operations","Internet, Ecommerce",Fresher,"bpo, voice, call centre, telecaller, Counsellor, inbound, Telesales, customer service, customer care, outbound calling, call center, customer relation, e - commerce, outbound, email support, communication skills, follow ups"
"325,000",2.5,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","Internet, Ecommerce",Associate,"administration, personnel, travel arrangements, finance, book keeping, customer support"
"6,000,000",15.0,Senior Management,"Sales , Retail , Business Development",Insurance,Head,"zonal manager, svp, life insurance, sales & marketing, insurance sales, vp, dvp"
"850,000",5.0,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,"software development, freelancer"
